food,type,ghg_kg,land_kg,water_kg,eutroph_kg,PC1,PC2,cluster
Oatmeal,Plant,1.6,7.6,482.4,11.23,-0.7414547923141626,-0.11986264051846297,0
Rice,Plant,4.0,2.8,2248.4,35.07,0.0016397590957425022,1.0453204015173312,3
Potatoes,Plant,0.3,0.88,59.1,3.48,-1.0228702287936207,-0.34000394212167856,0
Cassava,Plant,0.9,1.81,0.0,0.69,-1.0198298295897845,-0.4057215131544512,0
Cane Sugar,Plant,2.6,2.04,620.1,16.92,-0.6501263899719355,-0.014068616457016712,0
Beet Sugar,Plant,1.4,1.83,217.7,5.41,-0.9018820986120022,-0.2673024503774917,0
Other Pulses,Plant,1.6,15.57,435.7,17.08,-0.6638802272014697,-0.18266620927354,0
Peas,Plant,0.8,7.46,396.6,7.52,-0.8325317343236364,-0.16127868278437696,0
Nuts,Plant,0.2,12.96,4133.8,19.15,0.2926047263771813,2.289749049448275,3
Groundnuts,Plant,2.4,9.11,1852.3,14.14,-0.2875316828250863,0.7511434984546375,3
Soymilk,Plant,1.0,0.66,27.8,1.06,-1.0119896000853132,-0.3830790139247106,0
Soybean Oil,Plant,6.0,10.52,414.6,11.69,-0.5067923280338352,-0.29791687556855645,0
Palm Oil,Plant,7.6,2.42,6.4,10.67,-0.5968974664287722,-0.5646394095331659,0
Sunflower Oil,Plant,3.5,17.66,1007.9,50.66,-0.17205654997635741,0.19786319559625262,0
Rapeseed Oil,Plant,3.7,10.63,237.7,19.19,-0.627730390309725,-0.3366553419719896,0
Olive Oil,Plant,6.0,26.31,2141.8,37.26,0.24645992387147683,0.7953883805128881,3
Tomatoes,Plant,1.4,0.8,369.8,7.51,-0.8525177907448284,-0.15785246129259306,0
Onions & Leeks,Plant,0.3,0.39,14.3,3.24,-1.040189649949834,-0.367037726851891,0
Root Vegetables,Plant,0.3,0.33,28.4,1.61,-1.0472331720637544,-0.3608663681448585,0
Brassicas,Plant,0.4,0.55,119.4,5.01,-0.9929935289491612,-0.2982971728112137,0
Other Vegetables,Plant,0.5,0.38,102.5,2.27,-1.0113832869259716,-0.31675438641786585,0
Citrus Fruit,Plant,0.3,0.86,82.7,2.24,-1.0244600703174882,-0.3270419423277477,0
Bananas,Plant,0.8,1.93,114.5,3.29,-0.9753935936096122,-0.3235152277162817,0
Apples,Plant,0.3,0.63,180.1,1.45,-1.0038807733860133,-0.263766191982233,0
Berries & Grapes,Plant,1.1,2.41,419.6,6.12,-0.8527681737935855,-0.12909080316649382,0
Wine,Plant,1.4,1.78,78.9,4.57,-0.9464737761367653,-0.3594382427081692,0
Other Fruit,Plant,0.7,0.89,153.5,2.43,-0.9822023575709523,-0.29133115676634863,0
Coffee,Plant,16.5,21.62,25.9,110.52,0.6519617747408876,-0.691760002874501,0
Dark Chocolate,Plant,18.7,68.96,540.6,87.08,1.0718398140713865,-0.727017549793415,0
Beef (beef herd),Animal,59.6,326.21,1451.2,301.41,6.567923698827296,-2.2227418644245036,1
Beef (dairy herd),Animal,21.1,43.24,2714.3,365.29,3.4432949698202977,1.3476277895311568,2
Lamb & Mutton,Animal,24.5,369.81,1802.8,97.13,3.7814797511019465,-1.713971768797307,1
Pig Meat,Animal,7.2,17.36,1795.8,76.38,0.40786937045407073,0.6678959593080245,3
Poultry Meat,Animal,6.1,12.22,660.0,48.7,-0.18126711033791884,-0.07315194121589133,0
Milk,Animal,2.8,8.95,628.2,10.65,-0.6324522663266731,-0.06563957106672752,0
Cheese,Animal,21.2,87.79,5605.2,98.37,2.816883617388924,2.4327540382969843,2
Eggs,Animal,4.5,6.27,577.7,21.76,-0.5027060450052749,-0.10646299940150025,0
Fish (farmed),Animal,5.1,8.41,3691.3,235.12,1.7995375078343196,2.3411897607794314,2
